--dc=65536:1:16, conv2D/conv2D, 10154
--dc=32768:2:16, conv2D/conv2D, 10124
--dc=16384:4:16, conv2D/conv2D, 10123
--dc=8192:8:16, conv2D/conv2D, 10128
--dc=4096:16:16, conv2D/conv2D, 10223
--dc=2048:32:16, conv2D/conv2D, 10256
--dc=1024:64:16, conv2D/conv2D, 10307
--dc=131072:1:16, conv2D/conv2D, 10154
--dc=65536:2:16, conv2D/conv2D, 10124
--dc=32768:4:16, conv2D/conv2D, 10123
--dc=16384:8:16, conv2D/conv2D, 10123
--dc=8192:16:16, conv2D/conv2D, 10125
--dc=4096:32:16, conv2D/conv2D, 10159
--dc=2048:64:16, conv2D/conv2D, 10195
--dc=128:1:32, conv2D/conv2D, 23274
--dc=64:2:32, conv2D/conv2D, 11283
--dc=32:4:32, conv2D/conv2D, 12343
--dc=16:8:32, conv2D/conv2D, 12593
--dc=8:16:32, conv2D/conv2D, 12639
--dc=4:32:32, conv2D/conv2D, 12636
--dc=2:64:32, conv2D/conv2D, 12584
--dc=256:1:32, conv2D/conv2D, 19913
--dc=128:2:32, conv2D/conv2D, 9146
--dc=64:4:32, conv2D/conv2D, 9120
--dc=32:8:32, conv2D/conv2D, 9623
--dc=16:16:32, conv2D/conv2D, 9823
--dc=8:32:32, conv2D/conv2D, 10079
--dc=4:64:32, conv2D/conv2D, 9953
--dc=512:1:32, conv2D/conv2D, 12642
--dc=256:2:32, conv2D/conv2D, 7454
--dc=128:4:32, conv2D/conv2D, 7623
--dc=64:8:32, conv2D/conv2D, 7853
--dc=32:16:32, conv2D/conv2D, 8045
--dc=16:32:32, conv2D/conv2D, 8231
--dc=8:64:32, conv2D/conv2D, 8259
--dc=1024:1:32, conv2D/conv2D, 9510
--dc=512:2:32, conv2D/conv2D, 6909
--dc=256:4:32, conv2D/conv2D, 6800
--dc=128:8:32, conv2D/conv2D, 6880
--dc=64:16:32, conv2D/conv2D, 6977
--dc=32:32:32, conv2D/conv2D, 7089
--dc=16:64:32, conv2D/conv2D, 7205
--dc=2048:1:32, conv2D/conv2D, 7574
--dc=1024:2:32, conv2D/conv2D, 6376
--dc=512:4:32, conv2D/conv2D, 6327
--dc=256:8:32, conv2D/conv2D, 6262
--dc=128:16:32, conv2D/conv2D, 6297
--dc=64:32:32, conv2D/conv2D, 6344
--dc=32:64:32, conv2D/conv2D, 6434
--dc=4096:1:32, conv2D/conv2D, 5166
--dc=2048:2:32, conv2D/conv2D, 5587
--dc=1024:4:32, conv2D/conv2D, 5734
--dc=512:8:32, conv2D/conv2D, 5787
--dc=256:16:32, conv2D/conv2D, 5795
--dc=128:32:32, conv2D/conv2D, 5796
--dc=64:64:32, conv2D/conv2D, 5784
--dc=8192:1:32, conv2D/conv2D, 5102
--dc=4096:2:32, conv2D/conv2D, 5086
--dc=2048:4:32, conv2D/conv2D, 5303
--dc=1024:8:32, conv2D/conv2D, 5361
--dc=512:16:32, conv2D/conv2D, 5387
--dc=256:32:32, conv2D/conv2D, 5429
--dc=128:64:32, conv2D/conv2D, 5451
--dc=16384:1:32, conv2D/conv2D, 5102
--dc=8192:2:32, conv2D/conv2D, 5071
--dc=4096:4:32, conv2D/conv2D, 5085
--dc=2048:8:32, conv2D/conv2D, 5188
--dc=1024:16:32, conv2D/conv2D, 5222
--dc=512:32:32, conv2D/conv2D, 5252
--dc=256:64:32, conv2D/conv2D, 5265
--dc=32768:1:32, conv2D/conv2D, 5102
--dc=16384:2:32, conv2D/conv2D, 5071
--dc=8192:4:32, conv2D/conv2D, 5071
--dc=4096:8:32, conv2D/conv2D, 5072
--dc=2048:16:32, conv2D/conv2D, 5128
--dc=1024:32:32, conv2D/conv2D, 5162
--dc=512:64:32, conv2D/conv2D, 5165
--dc=65536:1:32, conv2D/conv2D, 5102
--dc=32768:2:32, conv2D/conv2D, 5071
--dc=16384:4:32, conv2D/conv2D, 5071
--dc=8192:8:32, conv2D/conv2D, 5071
--dc=4096:16:32, conv2D/conv2D, 5071
--dc=2048:32:32, conv2D/conv2D, 5090
--dc=1024:64:32, conv2D/conv2D, 5111
--dc=256:1:16, fir/fir, 3926638
--dc=128:2:16, fir/fir, 3826921
--dc=64:4:16, fir/fir, 3828254
--dc=32:8:16, fir/fir, 3830169
--dc=16:16:16, fir/fir, 3829068
--dc=8:32:16, fir/fir, 3829093
--dc=4:64:16, fir/fir, 3829655
--dc=512:1:16, fir/fir, 3864093
--dc=256:2:16, fir/fir, 3805300
--dc=128:4:16, fir/fir, 3812282
--dc=64:8:16, fir/fir, 3814912
--dc=32:16:16, fir/fir, 3816035
--dc=16:32:16, fir/fir, 3816000
--dc=8:64:16, fir/fir, 3816209
--dc=1024:1:16, fir/fir, 3828015
--dc=512:2:16, fir/fir, 3801541
--dc=256:4:16, fir/fir, 3800267
--dc=128:8:16, fir/fir, 3803908
--dc=64:16:16, fir/fir, 3805687
--dc=32:32:16, fir/fir, 3806495
--dc=16:64:16, fir/fir, 3806760
--dc=2048:1:16, fir/fir, 3811240
--dc=1024:2:16, fir/fir, 3797898
--dc=512:4:16, fir/fir, 3798404
--dc=256:8:16, fir/fir, 3798010
--dc=128:16:16, fir/fir, 3799874
--dc=64:32:16, fir/fir, 3800971
--dc=32:64:16, fir/fir, 3801189
--dc=4096:1:16, fir/fir, 3802877
--dc=2048:2:16, fir/fir, 3796959
--dc=1024:4:16, fir/fir, 3796760
--dc=512:8:16, fir/fir, 3797197
--dc=256:16:16, fir/fir, 3797012
--dc=128:32:16, fir/fir, 3798022
--dc=64:64:16, fir/fir, 3798664
--dc=8192:1:16, fir/fir, 3798687
--dc=4096:2:16, fir/fir, 3796145
--dc=2048:4:16, fir/fir, 3795937
--dc=1024:8:16, fir/fir, 3795884
--dc=512:16:16, fir/fir, 3795971
--dc=256:32:16, fir/fir, 3795840
--dc=128:64:16, fir/fir, 3796389
--dc=16384:1:16, fir/fir, 3780282
--dc=8192:2:16, fir/fir, 3789306
--dc=4096:4:16, fir/fir, 3790387
--dc=2048:8:16, fir/fir, 3790929
--dc=1024:16:16, fir/fir, 3791052
--dc=512:32:16, fir/fir, 3791164
--dc=256:64:16, fir/fir, 3791044
--dc=32768:1:16, fir/fir, 3779851
--dc=16384:2:16, fir/fir, 3771893
--dc=8192:4:16, fir/fir, 3776912
--dc=4096:8:16, fir/fir, 3778752
--dc=2048:16:16, fir/fir, 3779643
--dc=1024:32:16, fir/fir, 3780083
--dc=512:64:16, fir/fir, 3780203
--dc=65536:1:16, fir/fir, 3763915
--dc=32768:2:16, fir/fir, 3771518
--dc=16384:4:16, fir/fir, 3767704
--dc=8192:8:16, fir/fir, 3769092
--dc=4096:16:16, fir/fir, 3769980
--dc=2048:32:16, fir/fir, 3770219
--dc=1024:64:16, fir/fir, 3770647
--dc=131072:1:16, fir/fir, 3763798
--dc=65536:2:16, fir/fir, 3763591
--dc=32768:4:16, fir/fir, 3767473
--dc=16384:8:16, fir/fir, 3765545
--dc=8192:16:16, fir/fir, 3765903
--dc=4096:32:16, fir/fir, 3766190
--dc=2048:64:16, fir/fir, 3766302
--dc=128:1:32, fir/fir, 3906148
--dc=64:2:32, fir/fir, 3796956
--dc=32:4:32, fir/fir, 3797532
--dc=16:8:32, fir/fir, 3798302
--dc=8:16:32, fir/fir, 3797793
--dc=4:32:32, fir/fir, 3798225
--dc=2:64:32, fir/fir, 3798203
--dc=256:1:32, fir/fir, 3844626
--dc=128:2:32, fir/fir, 3785989
--dc=64:4:32, fir/fir, 3789250
--dc=32:8:32, fir/fir, 3790253
--dc=16:16:32, fir/fir, 3790996
--dc=8:32:32, fir/fir, 3790804
--dc=4:64:32, fir/fir, 3790973
--dc=512:1:32, fir/fir, 3810779
--dc=256:2:32, fir/fir, 3783300
--dc=128:4:32, fir/fir, 3782847
--dc=64:8:32, fir/fir, 3784363
--dc=32:16:32, fir/fir, 3785063
--dc=16:32:32, fir/fir, 3785403
--dc=8:64:32, fir/fir, 3785626
--dc=1024:1:32, fir/fir, 3794437
--dc=512:2:32, fir/fir, 3781157
--dc=256:4:32, fir/fir, 3781381
--dc=128:8:32, fir/fir, 3781092
